Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Maven, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, turquoise Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Chignon, natural breasts, Threader earrings, berry velvet lipstick,  inside ((  wearing  Compression top and yoga pants )), Underwater research facility
Superwoman, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, brown Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Chignon, full breasts, Dangle earrings, brown sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Post-apocalyptic wasteland
Enigma, Average Height, Narrow Hips, Triangular Face, Dark Skin, Golden Blonde Hair, peach Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, firm breasts, Clip-on earrings, soft pink matte lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Barren desert planet
Phenom, Short, Toned, Round Face, Tan Skin, Gray Hair, Sapphire Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Straight Bob with Layers, full breasts, , fuchsia cream lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Dystopian metropolis
Empress, Short, Firm, Triangular Face, Tan Skin, Auburn Hair, amber Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Stacked Bob, perky breasts, Faux gauge earrings, berry cream lipstick,  inside ((  wearing  Running shorts and tank top )), Barren desert planet
Visionary, Short, Thin, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, amethyst Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Dutch Braid, round breasts, Stud earrings, fuchsia velvet lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Alien planet with bioluminescent flora
Visionary, Average Height, Slim, Oval Face, Olive Skin, Strawberry Blonde Hair, light blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Herringbone Braid, augmented breasts, Threader earrings, orange velvet lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Jungle planet filled with dangerous creatures
Diva, Short, Skinny, Round Face, Fair Skin, Light Brown Hair, blue Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Bangs with Highlights, natural breasts, Threader earrings, rust sheer lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Barren desert planet
Woman, Short, Toned, Heart-Shaped Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Ballerina Bun, perky breasts, , cherry metallic lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Desolate lunar surface
Miss, Tall, Slim, Triangular Face, Dark Skin, Strawberry Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Boho Braid, perky breasts, Huggie earrings, teal satin lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Post-apocalyptic wasteland
Visionary, Average Height, Wide Hips, Triangular Face, Fair Skin, Strawberry Blonde Hair, Gray Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, round breasts, Faux gauge earrings, light pink velvet lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Jungle planet filled with dangerous creatures
Seductress, Tall, Narrow Hips, Square Face, Tan Skin, Black Hair, yellow Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, large breasts, Stud earrings, violet velvet lipstick,  inside ((  wearing  Spandex shorts and compression top )), Dystopian metropolis
Countess, Short, Thin, Square Face, Dark Skin, Light Brown Hair, gold Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Herringbone Braid, perky breasts, Clip-on earrings, green velvet lipstick,  inside ((  wearing  Compression top and yoga pants )), Giant space station
Gal, Tall, Firm, Square Face, Dark Skin, Light Brown Hair, coral Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Side Bangs, augmented breasts, Dangle earrings, green velvet lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Jungle planet filled with dangerous creatures
Starlet, Short, in shape, Heart-Shaped Face, Dark Skin, Brunette Hair, turquoise Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Straight Updo, augmented breasts, Huggie earrings, grape stain lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Jungle planet filled with dangerous creatures
Femme fatale, Average Height, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, small breasts, Threader earrings, violet metallic lipstick,  inside ((  wearing  Compression top and yoga pants )), Desolate lunar surface
Seductress, Average Height, in shape, Square Face, Dark Skin, White Hair, grey-blue Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Tapered Afro, firm breasts, , cream stain lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Desolate lunar surface
Songstress, Short, Slim, Round Face, Olive Skin, Golden Blonde Hair, ice blue Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Bangs with Highlights, large breasts, Dangle earrings, fuchsia matte lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Giant space station
Duchess, Average Height, Firm, Oval Face, Olive Skin, Chestnut Hair, jade Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fluffy Afro, asymmetrical breasts, Dangle earrings, fuchsia velvet lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Frozen tundra with icy mountains
Belle, Tall, Fit, Square Face, Fair Skin, Black Hair, hazel Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Curly Afro, small breasts, Faux gauge earrings, cream metallic lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Post-apocalyptic wasteland
Empress, Short, Firm, Square Face, Olive Skin, Blonde Hair, Gray Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, High Messy Bun, full breasts, Faux gauge earrings, terracotta metallic lipstick,  inside ((  wearing  Surfing wetsuit )), Desolate lunar surface
Escort, Short, Firm, Round Face, Tan Skin, Golden Blonde Hair, Amber Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, French Twist, full breasts, Dangle earrings, red metallic lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Post-apocalyptic wasteland
Trailblazer, Short, Toned, Oval Face, Olive Skin, Dark Brown Hair, Amber Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, firm breasts, Dangle earrings, gloss stain lipstick,  inside ((  wearing  Golf pants and golf polo )), Desolate lunar surface
Chanteuse, Short, Toned, Square Face, Dark Skin, Red Hair, black Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Bob with Bangs, firm breasts, , violet satin lipstick,  inside ((  wearing  Athletic dress )), Jungle planet filled with dangerous creatures
Miss, Average Height, Lean, Diamond-Shaped Face, Olive Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Loose Waves, saggy breasts, Faux gauge earrings, berry velvet lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Jungle planet filled with dangerous creatures
Female Viking, Tall, in shape, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, coral Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Shaggy Cut, augmented breasts, Drop earrings, green matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Dystopian metropolis
Luminary, Tall, Thin, Round Face, Dark Skin, Black Hair, Green Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Wedding Updo, asymmetrical breasts, Huggie earrings, mauve velvet lipstick,  inside ((  wearing  Compression top and yoga pants )), Underwater research facility
Female Warrior, Average Height, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, jade Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Curled Bob, natural breasts, Dangle earrings, pink stain lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Enchantress, Short, Firm, Triangular Face, Dark Skin, White Hair, Brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Low Chignon, small breasts, Dangle earrings, coral metallic lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Barren desert planet
Lady, Tall, Fit, Triangular Face, Olive Skin, Auburn Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Beach Waves, asymmetrical breasts, Stud earrings, gloss metallic lipstick,  inside ((  wearing  Running shorts and tank top )), Jungle planet filled with dangerous creatures
Enchantress, Tall, Athletic, Round Face, Tan Skin, Gray Hair, green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Shoulder-Length Curls, perky breasts, Huggie earrings, lavender sheer lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), City floating in the clouds
Goddess, Short, Fit, Oval Face, Olive Skin, Black Hair, jade Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Formal Braided Updo, round breasts, Faux gauge earrings, rust satin lipstick,  inside ((  wearing  Athletic jumpsuit )), Alien planet with bioluminescent flora
Vixen, Short, Thin, Round Face, Tan Skin, Auburn Hair, turquoise Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Chignon, round breasts, Huggie earrings, grape metallic lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), City floating in the clouds
Heiress, Short, Thin, Round Face, Dark Skin, Silver Hair, Brown Eyes with Green Flecks, Narrow Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, High Ponytail, natural breasts, Huggie earrings, plum velvet lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Alien planet with bioluminescent flora
Chanteuse, Average Height, Slim, Heart-Shaped Face, Olive Skin, Black Hair, red Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, perky breasts, Huggie earrings, terracotta cream lipstick,  inside ((  wearing  Golf pants and golf polo )), Post-apocalyptic wasteland
Luminary, Average Height, in shape, Triangular Face, Olive Skin, Platinum Blonde Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Low Chignon, firm breasts, Dangle earrings, cherry velvet lipstick,  inside ((  wearing  Athletic jumpsuit )), Frozen tundra with icy mountains
Female Warrior, Average Height, Narrow Hips, Square Face, Fair Skin, Red Hair, pink Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Curled Bob, soft breasts, Threader earrings, beige velvet lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Frozen tundra with icy mountains
Maven, Short, Lean, Round Face, Dark Skin, Light Brown Hair, jade Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, French Twist, round breasts, Clip-on earrings, grape cream lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Frozen tundra with icy mountains
Luminary, Tall, Firm, Heart-Shaped Face, Tan Skin, Chestnut Hair, grey Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, round breasts, Cuff earrings, peach matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Giant space station
Female Viking, Short, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Curled Bob, round breasts, , mauve sheer lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Jungle planet filled with dangerous creatures
Female Viking, Average Height, Athletic, Triangular Face, Fair Skin, Silver Hair, pink Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Long Straight Hair, firm breasts, Faux gauge earrings, peach satin lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Frozen tundra with icy mountains
Female Viking, Short, Firm, Triangular Face, Dark Skin, Light Brown Hair, yellow Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Ballerina Bun, saggy breasts, Stud earrings, gloss metallic lipstick,  inside ((  wearing  Running shorts and tank top )), Underwater research facility
Phenom, Short, Thin, Triangular Face, Dark Skin, Silver Hair, yellow Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Angled Bob, augmented breasts, Dangle earrings, mauve sheer lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Giant space station
Enigma, Short, Athletic, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, jade Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Tousled Waves, small breasts, Cuff earrings, red velvet lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Jungle planet filled with dangerous creatures
Maven, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, turquoise Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Tousled Waves, saggy breasts, Dangle earrings, plum matte lipstick,  inside ((  wearing  Spandex shorts and compression top )), Barren desert planet
Madam, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Silver Hair, Hazel Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Four-Strand Braid, soft breasts, Threader earrings, peach stain lipstick,  inside ((  wearing  Golf pants and golf polo )), Post-apocalyptic wasteland
Duchess, Tall, Slim, Diamond-Shaped Face, Fair Skin, Red Hair, yellow Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Angled Bob, perky breasts, Dangle earrings, golden satin lipstick,  inside ((  wearing  leggings and tank top )), Post-apocalyptic wasteland
Diva, Short, Thin, Heart-Shaped Face, Fair Skin, Blonde Hair, purple Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Updo, soft breasts, Huggie earrings, hot pink satin lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Underwater research facility
Lady, Short, Slim, Heart-Shaped Face, Tan Skin, Light Brown Hair, Amber Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Fringed Bangs, firm breasts, Drop earrings, burgundy satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Giant space station
Duchess, Tall, Lean, Heart-Shaped Face, Dark Skin, Red Hair, Blue Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, round breasts, Faux gauge earrings, black stain lipstick,  inside ((  wearing  Gym shorts and muscle tank )), City floating in the clouds
Belle, Short, Thin, Round Face, Tan Skin, Chestnut Hair, Brown Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Braided Headband, asymmetrical breasts, Drop earrings, beige sheer lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Giant space station
Goddess, Tall, Lean, Square Face, Tan Skin, Silver Hair, Sapphire Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Coarse Hair, Waterfall Braid, firm breasts, Clip-on earrings, brown velvet lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Post-apocalyptic wasteland
Mistress, Short, Firm, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Hazel Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, natural breasts, Drop earrings, soft pink velvet lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Jungle planet filled with dangerous creatures
Queen, Tall, Slim, Heart-Shaped Face, Dark Skin, Silver Hair, Blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Curly Afro, natural breasts, Dangle earrings, cream gloss lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Barren desert planet
