Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Sleeveless dresses, Maven, Short, Toned, Oval Face, Dark Skin, Auburn Hair, grey Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, green gloss lipstick
Sleeveless dresses, Vixen, Average Height, Toned, Oval Face, Tan Skin, Silver Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Double Braided Crown, full breasts, Dangle earrings, green stain lipstick
Off-the-shoulder dresses, Female Warrior, Average Height, Fit, Heart-Shaped Face, Olive Skin, Brunette Hair, Amber Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, firm breasts, Stud earrings, light pink stain lipstick
Jumpsuits, Madame, Short, Slim, Square Face, Dark Skin, Light Brown Hair, Hazel Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wavy Bob, augmented breasts, Stud earrings, peach velvet lipstick
Off-the-shoulder dresses, Belle, Average Height, Thin, Oval Face, Tan Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Fishtail Braid, round breasts, Dangle earrings, cream velvet lipstick
Short dresses, Maven, Average Height, Fit, Heart-Shaped Face, Fair Skin, Light Brown Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, asymmetrical breasts, Hoop earrings, beige velvet lipstick
Spaghetti strap dresses, Chanteuse, Average Height, Slim, Oval Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fauxhawk, natural breasts, , orange satin lipstick
Maxi dresses, Dame, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Ponytail, firm breasts, Threader earrings, violet gloss lipstick
Strapless dresses, Siren, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob, large breasts, Faux gauge earrings, terracotta metallic lipstick
Sundresses, Vixen, Short, in shape, Square Face, Fair Skin, Silver Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fancy Updo, perky breasts, Cuff earrings, red satin lipstick
Spaghetti strap dresses, Miss, Short, Slim, Square Face, Dark Skin, Gray Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Braided Headband, natural breasts, , rust stain lipstick
Spaghetti strap dresses, Female Warrior, Average Height, Wide Hips, Round Face, Fair Skin, Black Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, round breasts, Hoop earrings, soft pink stain lipstick
Strapless dresses, Trailblazer, Average Height, in shape, Oval Face, Dark Skin, Brunette Hair, silver Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Curled Bob, natural breasts, , hot pink cream lipstick
Maxi dresses, Charmer, Short, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, amethyst Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Long Straight Hair, firm breasts, Clip-on earrings, fuchsia cream lipstick
Spaghetti strap dresses, Seductress, Tall, in shape, Diamond-Shaped Face, Fair Skin, Silver Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Layered Bob, small breasts, Drop earrings, berry stain lipstick
Maxi dresses, Seductress, Short, in shape, Square Face, Dark Skin, Blonde Hair, black Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Updo, asymmetrical breasts, Stud earrings, mauve sheer lipstick
Strapless dresses, Trailblazer, Average Height, in shape, Round Face, Tan Skin, Red Hair, Brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Braided Half Up, saggy breasts, Cuff earrings, berry gloss lipstick
Spaghetti strap dresses, Starlet, Tall, in shape, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, teal Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Lace Braid, perky breasts, Dangle earrings, burgundy satin lipstick
Caftans, Luminary, Average Height, Slim, Round Face, Fair Skin, Black Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, grape metallic lipstick
Short dresses, Phenom, Average Height, Slim, Square Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia satin lipstick
Short dresses, Chanteuse, Average Height, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Messy Top Knot, asymmetrical breasts, Clip-on earrings, lavender sheer lipstick
Strapless dresses, Baroness, Tall, Wide Hips, Oval Face, Olive Skin, Platinum Blonde Hair, brown Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Side French Braid, firm breasts, Huggie earrings, cherry stain lipstick
Jumpsuits, Femme fatale, Short, Firm, Triangular Face, Tan Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Straight Bob with Layers, full breasts, Hoop earrings, mauve stain lipstick
Sleeveless dresses, Madam, Short, Narrow Hips, Oval Face, Olive Skin, Golden Blonde Hair, grey Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Updo, small breasts, Cuff earrings, violet gloss lipstick
Maxi dresses, Queen, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Gray Hair, ice blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Half Up, full breasts, Huggie earrings, berry satin lipstick
Sundresses, Mistress, Tall, in shape, Triangular Face, Fair Skin, Dark Brown Hair, ruby Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, French Braid, perky breasts, Stud earrings, coral cream lipstick
Halter dresses, Temptress, Short, in shape, Round Face, Olive Skin, Platinum Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, saggy breasts, Stud earrings, cream cream lipstick
Sleeveless dresses, Empress, Tall, Firm, Square Face, Fair Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Blunt Bangs, firm breasts, Faux gauge earrings, gloss satin lipstick
Short dresses, Madam, Tall, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, aquamarine Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Side French Braid, soft breasts, , cream cream lipstick
Off-the-shoulder dresses, Charmer, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Loose Curls, perky breasts, Threader earrings, lavender cream lipstick
Maxi dresses, Phenom, Short, Toned, Triangular Face, Fair Skin, Golden Blonde Hair, pink Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Afro, large breasts, Dangle earrings, cream satin lipstick
Halter dresses, Starlet, Short, in shape, Diamond-Shaped Face, Dark Skin, Light Brown Hair, jade Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, saggy breasts, Cuff earrings, golden cream lipstick
Sundresses, Heiress, Tall, Slim, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Voluminous Waves, round breasts, Stud earrings, lavender stain lipstick
Sleeveless dresses, Temptress, Short, Skinny, Square Face, Olive Skin, Black Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Blunt Bangs, perky breasts, Stud earrings, beige sheer lipstick
Jumpsuits, Vixen, Short, in shape, Round Face, Fair Skin, Chestnut Hair, blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, asymmetrical breasts, Drop earrings, terracotta sheer lipstick
Spaghetti strap dresses, Goddess, Tall, Wide Hips, Heart-Shaped Face, Dark Skin, Black Hair, grey-blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fishbone Braid, large breasts, Stud earrings, rust metallic lipstick
Off-the-shoulder dresses, Babe, Average Height, Wide Hips, Square Face, Olive Skin, Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Coarse Hair, Middle Part Bangs, saggy breasts, Dangle earrings, red sheer lipstick
Jumpsuits, Miss, Tall, Slim, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, black Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun, augmented breasts, Stud earrings, cherry stain lipstick
Jumpsuits, Songstress, Average Height, Thin, Square Face, Fair Skin, Golden Blonde Hair, Green Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Low Ponytail, firm breasts, Hoop earrings, hot pink sheer lipstick
Wrap dresses, Dame, Tall, Lean, Square Face, Tan Skin, Chestnut Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro, saggy breasts, Clip-on earrings, teal satin lipstick
Wrap dresses, Temptress, Short, Narrow Hips, Round Face, Dark Skin, Silver Hair, Hazel Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Headband, natural breasts, Clip-on earrings, black metallic lipstick
Caftans, Starlet, Tall, Wide Hips, Square Face, Olive Skin, Red Hair, turquoise Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Angled Bob, augmented breasts, Huggie earrings, peach sheer lipstick
Halter dresses, Female Warrior, Short, in shape, Heart-Shaped Face, Fair Skin, Blonde Hair, silver Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Blunt Bangs, small breasts, Cuff earrings, orange cream lipstick
Sundresses, Enigma, Tall, Wide Hips, Round Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, perky breasts, Cuff earrings, orange cream lipstick
Strapless dresses, Phenom, Tall, Firm, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Updo, natural breasts, , teal sheer lipstick
Spaghetti strap dresses, Baroness, Short, Slim, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, saggy breasts, Hoop earrings, grape cream lipstick
Halter dresses, Heiress, Short, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, purple Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, small breasts, Hoop earrings, violet stain lipstick
Spaghetti strap dresses, Enchantress, Average Height, Fit, Oval Face, Tan Skin, Black Hair, teal Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Updo, natural breasts, Hoop earrings, violet matte lipstick
Strapless dresses, Queen, Short, Firm, Heart-Shaped Face, Olive Skin, Black Hair, black Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, small breasts, Threader earrings, peach velvet lipstick
Wrap dresses, Trailblazer, Short, Thin, Diamond-Shaped Face, Fair Skin, Brunette Hair, ice blue Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, round breasts, Dangle earrings, plum matte lipstick
Rompers, Madame, Short, Athletic, Oval Face, Tan Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Wavy Bob, augmented breasts, Dangle earrings, terracotta gloss lipstick
Short dresses, Trailblazer, Tall, Firm, Square Face, Tan Skin, Brunette Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, perky breasts, Cuff earrings, magenta velvet lipstick
Strapless dresses, Visionary, Short, Slim, Round Face, Dark Skin, Light Brown Hair, coral Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Fauxhawk, asymmetrical breasts, Hoop earrings, peach cream lipstick
Jumpsuits, Songstress, Average Height, Thin, Heart-Shaped Face, Olive Skin, Light Brown Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, French Twist, perky breasts, Threader earrings, cream velvet lipstick
Maxi dresses, Visionary, Short, Wide Hips, Square Face, Dark Skin, Red Hair, amethyst Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Ballerina Bun, natural breasts, Drop earrings, grape velvet lipstick
Strapless dresses, Luminary, Average Height, Lean, Square Face, Olive Skin, Platinum Blonde Hair, Green Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Loose Curls, small breasts, Cuff earrings, grape stain lipstick
Short dresses, Duchess, Short, Firm, Heart-Shaped Face, Tan Skin, Chestnut Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Blunt Bangs, firm breasts, Hoop earrings, green gloss lipstick
Rompers, Diva, Average Height, Firm, Heart-Shaped Face, Tan Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Wedding Updo, natural breasts, Clip-on earrings, light pink matte lipstick
Caftans, Escort, Tall, Wide Hips, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, large breasts, Hoop earrings, rose stain lipstick
Short dresses, Belle, Tall, Wide Hips, Square Face, Olive Skin, Platinum Blonde Hair, ruby Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Side-Swept Bangs, augmented breasts, Stud earrings, lavender satin lipstick
Strapless dresses, Diva, Tall, Slim, Diamond-Shaped Face, Olive Skin, Blonde Hair, aquamarine Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, large breasts, Clip-on earrings, grape gloss lipstick
Rompers, Temptress, Tall, Slim, Diamond-Shaped Face, Fair Skin, White Hair, red Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Smooth Waves, saggy breasts, Clip-on earrings, brown matte lipstick
Caftans, Woman, Average Height, in shape, Oval Face, Fair Skin, Auburn Hair, silver Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Updo, saggy breasts, Hoop earrings, soft pink cream lipstick
Spaghetti strap dresses, Goddess, Tall, Toned, Round Face, Tan Skin, Gray Hair, coral Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Formal Updo, saggy breasts, Huggie earrings, red metallic lipstick
Short dresses, Queen, Tall, Toned, Oval Face, Tan Skin, Dark Brown Hair, hazel Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, large breasts, Dangle earrings, burgundy metallic lipstick
Jumpsuits, Mistress, Short, Athletic, Round Face, Olive Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Viking Braid, augmented breasts, Threader earrings, coral sheer lipstick
Sundresses, Goddess, Tall, Wide Hips, Square Face, Olive Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Blunt Bangs, asymmetrical breasts, Clip-on earrings, light pink matte lipstick
Caftans, Duchess, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, White Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, High Ponytail, small breasts, Stud earrings, peach velvet lipstick
Wrap dresses, Starlet, Short, Slim, Square Face, Tan Skin, Honey Blonde Hair, purple Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Beach Waves, natural breasts, Hoop earrings, grape stain lipstick
Sundresses, Gal, Short, Lean, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, brown Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Sleek Bun, perky breasts, Cuff earrings, rust metallic lipstick
Halter dresses, Baroness, Tall, Athletic, Square Face, Dark Skin, Black Hair, purple Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Frohawk, augmented breasts, Faux gauge earrings, burgundy metallic lipstick
Sundresses, Temptress, Average Height, Narrow Hips, Diamond-Shaped Face, Tan Skin, Gray Hair, black Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, perky breasts, Hoop earrings, grape gloss lipstick
Sleeveless dresses, Sensation, Average Height, Athletic, Square Face, Dark Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Loose Curls, soft breasts, Clip-on earrings, golden velvet lipstick
Sleeveless dresses, Starlet, Short, Fit, Round Face, Dark Skin, Silver Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, French Roll, full breasts, Threader earrings, peach gloss lipstick
Sleeveless dresses, Woman, Average Height, Thin, Round Face, Dark Skin, Dark Brown Hair, grey-blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Half Up Half Down, soft breasts, Dangle earrings, beige sheer lipstick
Spaghetti strap dresses, Starlet, Tall, Narrow Hips, Square Face, Olive Skin, Silver Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, saggy breasts, Drop earrings, burgundy gloss lipstick
Jumpsuits, Diva, Short, Slim, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, jade Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, perky breasts, Clip-on earrings, magenta cream lipstick
Short dresses, Visionary, Tall, Firm, Diamond-Shaped Face, Olive Skin, Light Brown Hair, silver Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Side French Braid, perky breasts, Drop earrings, fuchsia matte lipstick
Off-the-shoulder dresses, Lady, Tall, in shape, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, Brown Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Curled Bob, small breasts, Dangle earrings, hot pink matte lipstick
Spaghetti strap dresses, Femme fatale, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, Blue Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Tapered Afro, firm breasts, Clip-on earrings, peach metallic lipstick
