autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
autumn, A floral maxi dress with heeled boots, Chanteuse, Short, Fit, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, saggy breasts, Threader earrings, lavender satin lipstick
summer, A tank top with a maxi skirt and sandals, Luminary, Tall, in shape, Diamond-Shaped Face, Fair Skin, Red Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Side French Braid, full breasts, Clip-on earrings, cream gloss lipstick
summer, A short sundress with espadrilles and a straw tote, Visionary, Short, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, yellow Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Long Straight Hair, natural breasts, Huggie earrings, cream satin lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Dame, Tall, in shape, Oval Face, Olive Skin, Chestnut Hair, ruby Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, firm breasts, Clip-on earrings, soft pink satin lipstick
spring, A ruffled blouse with high-waisted shorts and espadrilles, Songstress, Tall, Skinny, Triangular Face, Fair Skin, Dark Brown Hair, light blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Frohawk, round breasts, Clip-on earrings, rose sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Chanteuse, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, saggy breasts, Huggie earrings, violet velvet lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Seductress, Tall, Skinny, Round Face, Olive Skin, Chestnut Hair, ruby Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, round breasts, Faux gauge earrings, magenta stain lipstick
spring, A lightweight sweater with cropped pants and sneakers, Maven, Short, Firm, Triangular Face, Dark Skin, Silver Hair, green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Wavy Hair, Bob with Bangs, soft breasts, Hoop earrings, coral stain lipstick
winter, A collared shirt with a pleated skirt and ankle boots, Enchantress, Tall, Lean, Round Face, Tan Skin, Golden Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Middle Part Bangs, small breasts, Faux gauge earrings, green sheer lipstick
autumn, A chunky knit sweater with corduroy pants and sneakers, Trailblazer, Tall, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Swept Bangs, small breasts, Hoop earrings, pink satin lipstick
summer, A sundress with flat sandals and a sun hat, Heiress, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Blonde Hair, amethyst Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, large breasts, Stud earrings, magenta gloss lipstick
spring, An oversized blazer with black jeans and heels, Goddess, Short, Fit, Diamond-Shaped Face, Olive Skin, Black Hair, amber Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curly Hair, large breasts, Threader earrings, golden satin lipstick
winter, Sweater dress with boots and tights, Goddess, Short, Thin, Triangular Face, Olive Skin, Auburn Hair, green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Wavy Bob, round breasts, Stud earrings, green satin lipstick
spring, A ruffled blouse with high-waisted shorts and espadrilles, Maven, Short, Toned, Oval Face, Dark Skin, Auburn Hair, grey Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, green gloss lipstick
winter, A midi skirt with a tucked in blouse and over-the-knee boots, Vixen, Average Height, Toned, Oval Face, Tan Skin, Silver Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Double Braided Crown, full breasts, Dangle earrings, green stain lipstick
summer, A midi skirt with a tucked in blouse and sandals, Female Warrior, Average Height, Fit, Heart-Shaped Face, Olive Skin, Brunette Hair, Amber Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, firm breasts, Stud earrings, light pink stain lipstick
autumn, A plaid shirt with leggings and tall boots, Madame, Short, Slim, Square Face, Dark Skin, Light Brown Hair, Hazel Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wavy Bob, augmented breasts, Stud earrings, peach velvet lipstick
winter, Sweater with a scarf, beanie and gloves, Belle, Average Height, Thin, Oval Face, Tan Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Fishtail Braid, round breasts, Dangle earrings, cream velvet lipstick
autumn, A wrap dress with mules and a statement necklace, Maven, Average Height, Fit, Heart-Shaped Face, Fair Skin, Light Brown Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, asymmetrical breasts, Hoop earrings, beige velvet lipstick
spring, An oversized blazer with black jeans and heels, Chanteuse, Average Height, Slim, Oval Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fauxhawk, natural breasts, , orange satin lipstick
spring, A floral maxi dress with strappy sandals, Dame, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Ponytail, firm breasts, Threader earrings, violet gloss lipstick
summer, A printed romper with heeled mules and a crossbody bag, Siren, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob, large breasts, Faux gauge earrings, terracotta metallic lipstick
summer, A striped jumpsuit with a denim vest, Vixen, Short, in shape, Square Face, Fair Skin, Silver Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fancy Updo, perky breasts, Cuff earrings, red satin lipstick
spring, A sleeveless blouse with a denim skirt and heels, Miss, Short, Slim, Square Face, Dark Skin, Gray Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Braided Headband, natural breasts, , rust stain lipstick
winter, A jumpsuit with a belt and pumps, Female Warrior, Average Height, Wide Hips, Round Face, Fair Skin, Black Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, round breasts, Hoop earrings, soft pink stain lipstick
summer, A lightweight sweater with shorts and sneakers, Trailblazer, Average Height, in shape, Oval Face, Dark Skin, Brunette Hair, silver Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Curled Bob, natural breasts, , hot pink cream lipstick
summer, A spaghetti strap top with high-waisted jeans and heels, Charmer, Short, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, amethyst Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Long Straight Hair, firm breasts, Clip-on earrings, fuchsia cream lipstick
autumn, A jumpsuit with a belt and block heels, Seductress, Tall, in shape, Diamond-Shaped Face, Fair Skin, Silver Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Layered Bob, small breasts, Drop earrings, berry stain lipstick
summer, A linen blazer with a tank top and white jeans, Seductress, Short, in shape, Square Face, Dark Skin, Blonde Hair, black Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Updo, asymmetrical breasts, Stud earrings, mauve sheer lipstick
autumn, A midi skirt with a tucked in blouse and ankle boots, Trailblazer, Average Height, in shape, Round Face, Tan Skin, Red Hair, Brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Braided Half Up, saggy breasts, Cuff earrings, berry gloss lipstick
spring, A button-down dress with a neck scarf and sneakers, Starlet, Tall, in shape, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, teal Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Lace Braid, perky breasts, Dangle earrings, burgundy satin lipstick
winter, A wrap dress with heeled booties, Luminary, Average Height, Slim, Round Face, Fair Skin, Black Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, grape metallic lipstick
summer, A floral midi dress with sandals and a straw hat, Phenom, Average Height, Slim, Square Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia satin lipstick
autumn, A midi skirt with a tucked in blouse and ankle boots, Chanteuse, Average Height, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Messy Top Knot, asymmetrical breasts, Clip-on earrings, lavender sheer lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Baroness, Tall, Wide Hips, Oval Face, Olive Skin, Platinum Blonde Hair, brown Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Side French Braid, firm breasts, Huggie earrings, cherry stain lipstick
autumn, A long cardigan with a tank top, leggings, and boots, Femme fatale, Short, Firm, Triangular Face, Tan Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Straight Bob with Layers, full breasts, Hoop earrings, mauve stain lipstick
spring, A floral maxi dress with strappy sandals, Madam, Short, Narrow Hips, Oval Face, Olive Skin, Golden Blonde Hair, grey Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Updo, small breasts, Cuff earrings, violet gloss lipstick
spring, A tank top with a midi skirt and sandals, Queen, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Gray Hair, ice blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Half Up, full breasts, Huggie earrings, berry satin lipstick
spring, An oversized blazer with black jeans and heels, Mistress, Tall, in shape, Triangular Face, Fair Skin, Dark Brown Hair, ruby Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, French Braid, perky breasts, Stud earrings, coral cream lipstick
spring, A white shirt dress with ankle boots and a belt, Temptress, Short, in shape, Round Face, Olive Skin, Platinum Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, saggy breasts, Stud earrings, cream cream lipstick
spring, A sleeveless blouse with a denim skirt and heels, Empress, Tall, Firm, Square Face, Fair Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Blunt Bangs, firm breasts, Faux gauge earrings, gloss satin lipstick
spring, A floral sundress with sandals and a denim jacket, Madam, Tall, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, aquamarine Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Side French Braid, soft breasts, , cream cream lipstick
summer, A spaghetti strap top with high-waisted jeans and heels, Charmer, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Loose Curls, perky breasts, Threader earrings, lavender cream lipstick
autumn, A long-sleeve sundress with ankle boots and a denim jacket, Phenom, Short, Toned, Triangular Face, Fair Skin, Golden Blonde Hair, pink Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Afro, large breasts, Dangle earrings, cream satin lipstick
autumn, A denim jacket with a sweater and jeans, Starlet, Short, in shape, Diamond-Shaped Face, Dark Skin, Light Brown Hair, jade Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, saggy breasts, Cuff earrings, golden cream lipstick
summer, A lightweight sweater with shorts and sneakers, Heiress, Tall, Slim, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Voluminous Waves, round breasts, Stud earrings, lavender stain lipstick
spring, A sundress with sandals and a denim jacket, Temptress, Short, Skinny, Square Face, Olive Skin, Black Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Blunt Bangs, perky breasts, Stud earrings, beige sheer lipstick
summer, A lightweight sweater with shorts and sneakers, Vixen, Short, in shape, Round Face, Fair Skin, Chestnut Hair, blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, asymmetrical breasts, Drop earrings, terracotta sheer lipstick
spring, A button-down dress with a neck scarf and sneakers, Goddess, Tall, Wide Hips, Heart-Shaped Face, Dark Skin, Black Hair, grey-blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fishbone Braid, large breasts, Stud earrings, rust metallic lipstick
autumn, A long-sleeve sundress with ankle boots and a denim jacket, Babe, Average Height, Wide Hips, Square Face, Olive Skin, Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Coarse Hair, Middle Part Bangs, saggy breasts, Dangle earrings, red sheer lipstick
summer, A collared shirt with linen trousers and espadrilles, Miss, Tall, Slim, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, black Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun, augmented breasts, Stud earrings, cherry stain lipstick
winter, Bomber jacket with a sweater and leggings, Songstress, Average Height, Thin, Square Face, Fair Skin, Golden Blonde Hair, Green Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Low Ponytail, firm breasts, Hoop earrings, hot pink sheer lipstick
winter, A wrap dress with booties and a belt, Dame, Tall, Lean, Square Face, Tan Skin, Chestnut Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro, saggy breasts, Clip-on earrings, teal satin lipstick
summer, A button-down dress with a bandana and sneakers, Temptress, Short, Narrow Hips, Round Face, Dark Skin, Silver Hair, Hazel Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Headband, natural breasts, Clip-on earrings, black metallic lipstick
autumn, A long cardigan with a tank top, leggings, and boots, Starlet, Tall, Wide Hips, Square Face, Olive Skin, Red Hair, turquoise Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Angled Bob, augmented breasts, Huggie earrings, peach sheer lipstick
spring, A tank top with a midi skirt and sandals, Female Warrior, Short, in shape, Heart-Shaped Face, Fair Skin, Blonde Hair, silver Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Blunt Bangs, small breasts, Cuff earrings, orange cream lipstick
spring, A striped t-shirt with distressed jeans and sandals, Enigma, Tall, Wide Hips, Round Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, perky breasts, Cuff earrings, orange cream lipstick
summer, A pleated skirt with a tank and sandals, Phenom, Tall, Firm, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Updo, natural breasts, , teal sheer lipstick
winter, Sweater dress with boots and tights, Baroness, Short, Slim, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, saggy breasts, Hoop earrings, grape cream lipstick
autumn, A sweater with skinny jeans and ankle boots, Heiress, Short, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, purple Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, small breasts, Hoop earrings, violet stain lipstick
summer, A lightweight sweater with shorts and sneakers, Enchantress, Average Height, Fit, Oval Face, Tan Skin, Black Hair, teal Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Updo, natural breasts, Hoop earrings, violet matte lipstick
summer, A linen blazer with a tank top and white jeans, Queen, Short, Firm, Heart-Shaped Face, Olive Skin, Black Hair, black Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, small breasts, Threader earrings, peach velvet lipstick
winter, Puffy jacket with skinny jeans and snow boots, Trailblazer, Short, Thin, Diamond-Shaped Face, Fair Skin, Brunette Hair, ice blue Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, round breasts, Dangle earrings, plum matte lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Madame, Short, Athletic, Oval Face, Tan Skin, Honey Blonde Hair, aquamarine Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Wavy Bob, augmented breasts, Dangle earrings, terracotta gloss lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Trailblazer, Tall, Firm, Square Face, Tan Skin, Brunette Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, perky breasts, Cuff earrings, magenta velvet lipstick
