Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Cadmium, brooch, Superwoman, Tall, in shape, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Stacked Bob, natural breasts, Dangle earrings, rust stain lipstick, Pink Lace Chemise with Ruffle Details
Osmium, brooch pin, Enigma, Tall, Toned, Square Face, Fair Skin, Light Brown Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Triple Braided Crown, soft breasts, Cuff earrings, hot pink matte lipstick, Fuchsia Mesh Halter Bra and Panty Set
Platinum, charm bracelet, Enchantress, Average Height, Fit, Round Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, asymmetrical breasts, Clip-on earrings, teal velvet lipstick, Ivory Lace Teddy
Rhenium, torc necklace, Female Viking, Short, Narrow Hips, Round Face, Dark Skin, Chestnut Hair, brown Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, asymmetrical breasts, Clip-on earrings, violet metallic lipstick, Silver Sequin Bralette
Gold, flower brooch, Chanteuse, Short, Fit, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, saggy breasts, Threader earrings, lavender satin lipstick, White Lace Bralette and Boyshorts Set
Indium, torc necklace, Luminary, Tall, in shape, Diamond-Shaped Face, Fair Skin, Red Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Side French Braid, full breasts, Clip-on earrings, cream gloss lipstick, Red Lace Bra and Panty Set with Garter Belt
Cadmium, cocktail brooch, Visionary, Short, Fit, Triangular Face, Tan Skin, Platinum Blonde Hair, yellow Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Long Straight Hair, natural breasts, Huggie earrings, cream satin lipstick, Silver Silk Bra and Panty Set with Garter Belt
Iridium, choker, Dame, Tall, in shape, Oval Face, Olive Skin, Chestnut Hair, ruby Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, firm breasts, Clip-on earrings, soft pink satin lipstick, Green Satin and Lace Garter Belt with Matching Thong
Platinum, anklet, Songstress, Tall, Skinny, Triangular Face, Fair Skin, Dark Brown Hair, light blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Frohawk, round breasts, Clip-on earrings, rose sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Gallium, tassel necklace, Chanteuse, Average Height, Skinny, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, saggy breasts, Huggie earrings, violet velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Iridium, anklet, Seductress, Tall, Skinny, Round Face, Olive Skin, Chestnut Hair, ruby Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, round breasts, Faux gauge earrings, magenta stain lipstick, Olive Green Mesh Garter Belt with Stockings
Gallium, torc necklace, Maven, Short, Firm, Triangular Face, Dark Skin, Silver Hair, green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Wavy Hair, Bob with Bangs, soft breasts, Hoop earrings, coral stain lipstick, Green Sequin Slip Dress with Thigh-High Slits
Tantalum, chain necklace, Enchantress, Tall, Lean, Round Face, Tan Skin, Golden Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Middle Part Bangs, small breasts, Faux gauge earrings, green sheer lipstick, Mint Green Mesh Teddy 
Iridium, brooch, Trailblazer, Tall, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Swept Bangs, small breasts, Hoop earrings, pink satin lipstick, Charcoal Sheer Bra and Panty Set
Cadmium, locket necklace, Heiress, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Blonde Hair, amethyst Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, large breasts, Stud earrings, magenta gloss lipstick, White Satin and Lace Bra and Panty Set
Osmium, chain bracelet, Goddess, Short, Fit, Diamond-Shaped Face, Olive Skin, Black Hair, amber Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curly Hair, large breasts, Threader earrings, golden satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Rhenium, statement necklace, Goddess, Short, Thin, Triangular Face, Olive Skin, Auburn Hair, green Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Wavy Bob, round breasts, Stud earrings, green satin lipstick, Blue Strappy Bodysuit with Cutouts
Iridium, bangle bracelet, Maven, Short, Toned, Oval Face, Dark Skin, Auburn Hair, grey Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, green gloss lipstick, White Sheer Teddy with Lace Trim
Radium, chain necklace, Vixen, Average Height, Toned, Oval Face, Tan Skin, Silver Hair, hazel Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Double Braided Crown, full breasts, Dangle earrings, green stain lipstick, Mint Green Mesh Teddy 
Ruthenium, ankle bracelet, Female Warrior, Average Height, Fit, Heart-Shaped Face, Olive Skin, Brunette Hair, Amber Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, firm breasts, Stud earrings, light pink stain lipstick, Lavender Lace Bra and Panty Set 
Cadmium, watch bracelet, Madame, Short, Slim, Square Face, Dark Skin, Light Brown Hair, Hazel Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Wavy Bob, augmented breasts, Stud earrings, peach velvet lipstick, Gold Strappy Bodysuit
Platinum, tassel necklace, Belle, Average Height, Thin, Oval Face, Tan Skin, Gray Hair, light blue Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Fishtail Braid, round breasts, Dangle earrings, cream velvet lipstick, Navy Blue Satin Garter Belt with Suspenders 
Platinum, bib necklace, Maven, Average Height, Fit, Heart-Shaped Face, Fair Skin, Light Brown Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, asymmetrical breasts, Hoop earrings, beige velvet lipstick, Black Lace Bustier
Rhenium, pendant, Chanteuse, Average Height, Slim, Oval Face, Olive Skin, Gray Hair, grey Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fauxhawk, natural breasts, , orange satin lipstick, Turquoise Sheer Chemise with Cutouts
Germanium, locket necklace, Dame, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, High Ponytail, firm breasts, Threader earrings, violet gloss lipstick, Green Satin and Lace Garter Belt with Matching Thong
Tantalum, brooch, Siren, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob, large breasts, Faux gauge earrings, terracotta metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Indium, animal brooch, Vixen, Short, in shape, Square Face, Fair Skin, Silver Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fancy Updo, perky breasts, Cuff earrings, red satin lipstick, Cream Sequin Bra and Pant Set
Silver, ankle cuff, Miss, Short, Slim, Square Face, Dark Skin, Gray Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Braided Headband, natural breasts, , rust stain lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhodium, cuff bracelet, Female Warrior, Average Height, Wide Hips, Round Face, Fair Skin, Black Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, round breasts, Hoop earrings, soft pink stain lipstick, White Sheer Teddy with Lace Trim
Cadmium, ankle strap, Trailblazer, Average Height, in shape, Oval Face, Dark Skin, Brunette Hair, silver Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Curled Bob, natural breasts, , hot pink cream lipstick, Purple Velvet Slip with Lace Trim
Germanium, bib necklace, Charmer, Short, Lean, Heart-Shaped Face, Fair Skin, Blonde Hair, amethyst Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Long Straight Hair, firm breasts, Clip-on earrings, fuchsia cream lipstick, Orange Satin Slip
Gallium, beaded bracelet, Seductress, Tall, in shape, Diamond-Shaped Face, Fair Skin, Silver Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Layered Bob, small breasts, Drop earrings, berry stain lipstick, Cream Sequin Bra and Pant Set
Palladium, flower brooch, Seductress, Short, in shape, Square Face, Dark Skin, Blonde Hair, black Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Updo, asymmetrical breasts, Stud earrings, mauve sheer lipstick, Gold Strappy Bodysuit
Beryllium, cuff bracelet, Trailblazer, Average Height, in shape, Round Face, Tan Skin, Red Hair, Brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Braided Half Up, saggy breasts, Cuff earrings, berry gloss lipstick, Purple Velvet Slip with Lace Trim
Ruthenium, multi-strand necklace, Starlet, Tall, in shape, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, teal Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Lace Braid, perky breasts, Dangle earrings, burgundy satin lipstick, Purple Velvet Robe with Fur Trim 
Silver, friendship bracelet, Luminary, Average Height, Slim, Round Face, Fair Skin, Black Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Formal Updo, large breasts, Clip-on earrings, grape metallic lipstick, Red Satin Babydoll
Silver, collar necklace, Phenom, Average Height, Slim, Square Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Low Ponytail, round breasts, Drop earrings, fuchsia satin lipstick, Green Silk Bralette and Panty Set
Beryllium, bracelet, Chanteuse, Average Height, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Messy Top Knot, asymmetrical breasts, Clip-on earrings, lavender sheer lipstick, Mint Green Mesh Teddy 
Gallium, tennis necklace, Baroness, Tall, Wide Hips, Oval Face, Olive Skin, Platinum Blonde Hair, brown Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Side French Braid, firm breasts, Huggie earrings, cherry stain lipstick, Black Sheer Teddy with Floral Applique
Indium, slave bracelet, Femme fatale, Short, Firm, Triangular Face, Tan Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Straight Bob with Layers, full breasts, Hoop earrings, mauve stain lipstick, Charcoal Sheer Bra and Panty Set
Beryllium, cocktail ring, Madam, Short, Narrow Hips, Oval Face, Olive Skin, Golden Blonde Hair, grey Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Updo, small breasts, Cuff earrings, violet gloss lipstick, Olive Green Mesh Garter Belt with Stockings
Gold, flower brooch, Queen, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Gray Hair, ice blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Half Up, full breasts, Huggie earrings, berry satin lipstick, Blue Sheer Babydoll with Satin Trim
Iridium, bracelet, Mistress, Tall, in shape, Triangular Face, Fair Skin, Dark Brown Hair, ruby Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, French Braid, perky breasts, Stud earrings, coral cream lipstick, Gold Strappy Bodysuit
Ruthenium, chain necklace, Temptress, Short, in shape, Round Face, Olive Skin, Platinum Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, saggy breasts, Stud earrings, cream cream lipstick, Silver Silk Bra and Panty Set with Garter Belt
Gold, pendant, Empress, Tall, Firm, Square Face, Fair Skin, Honey Blonde Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Blunt Bangs, firm breasts, Faux gauge earrings, gloss satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Tantalum, statement necklace, Madam, Tall, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, aquamarine Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Side French Braid, soft breasts, , cream cream lipstick, Purple Mesh Babydoll with Matching G-String
Germanium, cuff bracelet, Charmer, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Loose Curls, perky breasts, Threader earrings, lavender cream lipstick, Pink Floral Corset
Rhodium, ankle bracelet, Phenom, Short, Toned, Triangular Face, Fair Skin, Golden Blonde Hair, pink Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Afro, large breasts, Dangle earrings, cream satin lipstick, Red Satin Babydoll
Germanium, locket necklace, Starlet, Short, in shape, Diamond-Shaped Face, Dark Skin, Light Brown Hair, jade Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, saggy breasts, Cuff earrings, golden cream lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gallium, beaded necklace, Heiress, Tall, Slim, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Voluminous Waves, round breasts, Stud earrings, lavender stain lipstick, Cream Sequin Bra and Pant Set
Platinum, beaded necklace, Temptress, Short, Skinny, Square Face, Olive Skin, Black Hair, ice blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Blunt Bangs, perky breasts, Stud earrings, beige sheer lipstick, White Satin and Lace Bra and Panty Set
Ruthenium, brooch pin, Vixen, Short, in shape, Round Face, Fair Skin, Chestnut Hair, blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, asymmetrical breasts, Drop earrings, terracotta sheer lipstick, White Sheer Teddy with Lace Trim
Rhodium, animal brooch, Goddess, Tall, Wide Hips, Heart-Shaped Face, Dark Skin, Black Hair, grey-blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Fishbone Braid, large breasts, Stud earrings, rust metallic lipstick, Olive Green Mesh Garter Belt with Stockings
Ruthenium, watch bracelet, Babe, Average Height, Wide Hips, Square Face, Olive Skin, Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Coarse Hair, Middle Part Bangs, saggy breasts, Dangle earrings, red sheer lipstick, Silver Silk Bra and Panty Set with Garter Belt
Beryllium, pearl necklace, Miss, Tall, Slim, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, black Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun, augmented breasts, Stud earrings, cherry stain lipstick, Silver Silk Bra and Panty Set with Garter Belt
Cadmium, tennis necklace, Songstress, Average Height, Thin, Square Face, Fair Skin, Golden Blonde Hair, Green Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Low Ponytail, firm breasts, Hoop earrings, hot pink sheer lipstick, Red Satin Babydoll
Germanium, charm bracelet, Dame, Tall, Lean, Square Face, Tan Skin, Chestnut Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro, saggy breasts, Clip-on earrings, teal satin lipstick, Black Leather Bralette and Panty Set
Gallium, ankle bracelet, Temptress, Short, Narrow Hips, Round Face, Dark Skin, Silver Hair, Hazel Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Headband, natural breasts, Clip-on earrings, black metallic lipstick, Silver Sequin Bralette
Beryllium, anklet, Starlet, Tall, Wide Hips, Square Face, Olive Skin, Red Hair, turquoise Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Angled Bob, augmented breasts, Huggie earrings, peach sheer lipstick, White Lace Bralette and Boyshorts Set
Rhenium, bib necklace, Female Warrior, Short, in shape, Heart-Shaped Face, Fair Skin, Blonde Hair, silver Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Blunt Bangs, small breasts, Cuff earrings, orange cream lipstick, Black Leather Bralette and Panty Set
Radium, cocktail brooch, Enigma, Tall, Wide Hips, Round Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Formal Braided Updo, perky breasts, Cuff earrings, orange cream lipstick, Purple Velvet Slip with Lace Trim
Radium, animal brooch, Phenom, Tall, Firm, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Updo, natural breasts, , teal sheer lipstick, Black Mesh Bodysuit with Embroidered Flowers
Silver, ankle strap, Baroness, Short, Slim, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, saggy breasts, Hoop earrings, grape cream lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhenium, cocktail ring, Heiress, Short, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, purple Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, small breasts, Hoop earrings, violet stain lipstick, Fuchsia Mesh Halter Bra and Panty Set
Gold, vintage brooch, Enchantress, Average Height, Fit, Oval Face, Tan Skin, Black Hair, teal Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Updo, natural breasts, Hoop earrings, violet matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Tantalum, bib necklace, Queen, Short, Firm, Heart-Shaped Face, Olive Skin, Black Hair, black Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, small breasts, Threader earrings, peach velvet lipstick, Lavender Lace Bra and Panty Set 
Palladium, collar necklace, Trailblazer, Short, Thin, Diamond-Shaped Face, Fair Skin, Brunette Hair, ice blue Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, round breasts, Dangle earrings, plum matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
